timestamp,event,instId,side,price,sz,atr,atr_pct,tp,sl,pnl,pnl_pct,close_reason
2026-07-14 12:46:12,OPEN_PAIR,BTC-USDT-SWAP,LONG,63711.7,0.01,359.092690553212,0.5636,64429.9,63352.6,0,0,
2026-07-14 12:46:13,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1836.23,0.05,15.6964952105056,0.8548,1804.84,1851.93,0,0,
2026-07-14 12:48:04,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1852.37,0.5,0,0,0,0,-7.885,-0.86,SL
2026-07-14 13:19:31,CLOSE_BTC,BTC-USDT-SWAP,LONG,63840,1,0,0,0,0,94.5,0.15,TP
2026-07-14 13:19:34,OPEN_PAIR,BTC-USDT-SWAP,LONG,63840,0.01,376.252864579995,0.5894,64592.5,63463.7,0,0,
2026-07-14 13:19:34,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1861,0.05,18.8648748683004,1.0137,1823.27,1879.86,0,0,
2026-07-14 13:22:12,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1877.57,0.5,0,0,0,0,-8.245,-0.89,SL
2026-07-14 13:23:24,CLOSE_BTC,BTC-USDT-SWAP,LONG,64078.2,1,0,0,0,0,234.6,0.37,TP
2026-07-14 13:23:27,OPEN_PAIR,BTC-USDT-SWAP,LONG,64075.3,0.01,394.839531246662,0.6162,64865,63680.5,0,0,
2026-07-14 13:23:27,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1877.6,0.05,20.5582082016338,1.0949,1836.48,1898.16,0,0,
2026-07-14 14:48:22,OPEN_PAIR,ARB-USDT-SWAP,LONG,0.09179,10.8,0.00145467323816628,1.5848,0.0947,0.09034,0,0,
2026-07-14 14:48:22,OPEN_PAIR,OP-USDT-SWAP,SHORT,0.10124,98,0.00119050325675443,1.1759,0.09886,0.10243,0,0,
2026-07-14 14:57:23,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.09,0.12,0.463448315215073,0.6012,78.02,76.63,0,0,
2026-07-14 14:57:24,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.645,1.5,0.045510916701403,0.6849,6.554,6.691,0,0,
2026-07-14 15:32:05,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.699,1.5,0,0,0,0,-0.0810,-0.81,SL
2026-07-14 22:20:50,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.45,0.12,0,0,0,0,0.0456,0.49,TP
2026-07-14 22:20:53,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.46,0.12,0.203205277184634,0.2623,77.87,77.26,0,0,
2026-07-14 22:20:53,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.66,1.5,0.0215919890636018,0.3242,6.617,6.682,0,0,
2026-07-14 22:33:29,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.8,0.12,0,0,0,0,0.0408,0.44,TP
2026-07-14 22:34:07,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.683,1.5,0,0,0,0,-0.0360,-0.36,SL
2026-07-14 22:34:45,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.89,0.12,0.262333461455173,0.3368,78.41,77.63,0,0,
2026-07-14 22:34:45,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.689,1.4,0.0236730544060095,0.3539,6.642,6.713,0,0,
2026-07-14 22:55:20,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.64,0.12,0,0,0,0,-0.0288,-0.31,SL
2026-07-14 23:33:39,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.643,1.4,0,0,0,0,0.0616,0.66,TP
2026-07-14 23:41:22,CLOSE_ETH,AVAX-USDT-SWAP,LONG,6.662,1.4,0,0,0,0,0.0210,0.23,TP
2026-07-14 23:41:25,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.71,0.12,0.275973348747169,0.3551,78.26,77.43,0,0,
2026-07-14 23:41:25,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.662,1.5,0.0218123682754943,0.3274,6.618,6.684,0,0,
2026-07-14 23:43:32,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.678,0.1,0,0,0,0,-0.0017,-0.26,SL
2026-07-15 00:31:31,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.49,0.12,0,0,0,0,-0.0276,-0.30,SL
2026-07-15 00:31:34,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.48,0.12,0.220418192267046,0.2845,77.92,77.26,0,0,
2026-07-15 00:31:34,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.669,1.4,0.0272650589719822,0.4088,6.614,6.696,0,0,
2026-07-15 01:50:50,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.29,0.12,0,0,0,0,-0.0240,-0.26,SL
2026-07-15 06:46:31,OPEN_PAIR,SOL-USDT-SWAP,LONG,78.22,0.12,0.295606126962463,0.3779,78.81,77.92,0,0,
2026-07-15 06:46:31,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.709,1.4,0.0220112908945304,0.3281,6.665,6.731,0,0,
2026-07-15 06:59:31,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.93,0.12,0,0,0,0,-0.0360,-0.38,SL
2026-07-15 07:00:31,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.666,1.4,0,0,0,0,0.0588,0.63,TP
2026-07-15 07:00:33,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.82,0.12,0.30881422699591,0.3968,78.44,77.51,0,0,
2026-07-15 07:00:34,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.668,1.4,0.0244631218309811,0.3669,6.619,6.692,0,0,
2026-07-15 07:22:23,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.624,1.4,0,0,0,0,0.0616,0.66,TP
2026-07-15 07:27:13,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.54,0.12,0,0,0,0,-0.0348,-0.37,SL
2026-07-15 07:27:15,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.55,0.12,0.321683440677368,0.4148,78.19,77.23,0,0,
