timestamp,event,instId,side,price,sz,dip_pct,tp,sl,pnl,pnl_pct,reason
2026-07-16 15:37:32,OPEN,PI-USDT-SWAP,LONG,0.0727,137,-10.0581,0.07415,0.07197,0,0,
2026-07-16 15:41:53,CLOSE,HOME-USDT-SWAP,LONG,0.01208,8,0,0,0,0.0018,1.94,TP
2026-07-16 15:41:54,OPEN,HOME-USDT-SWAP,LONG,0.01207,8,-12.4093,0.01231,0.01195,0,0,
2026-07-16 15:44:49,CLOSE,PI-USDT-SWAP,LONG,0.07431,137,0,0,0,0.2274,2.28,TP
2026-07-16 15:44:50,OPEN,PI-USDT-SWAP,LONG,0.07431,134,-7.9980,0.0758,0.07357,0,0,
2026-07-16 15:49:14,CLOSE,JTO-USDT-SWAP,LONG,0.5898,16,0,0,0,-0.0912,-0.96,SL
2026-07-16 15:49:15,OPEN,JTO-USDT-SWAP,LONG,0.5898,16,-6.4700,0.6016,0.5839,0,0,
2026-07-16 15:52:45,CLOSE,HOME-USDT-SWAP,LONG,0.01187,8,0,0,0,-0.0016,-1.66,SL
2026-07-16 15:52:46,OPEN,HOME-USDT-SWAP,LONG,0.01187,8,-13.8607,0.01211,0.01175,0,0,
2026-07-16 15:54:32,CLOSE,H-USDT-SWAP,LONG,0.05896,1.6,0,0,0,-0.0011,-1.19,SL
2026-07-16 15:54:33,OPEN,H-USDT-SWAP,LONG,0.05896,1.6,-8.9702,0.06014,0.05837,0,0,
2026-07-16 16:01:42,CLOSE,HOME-USDT-SWAP,LONG,0.01174,8,0,0,0,-0.0010,-1.10,SL
2026-07-16 16:01:44,OPEN,HOME-USDT-SWAP,LONG,0.01174,8,-14.8658,0.01197,0.01162,0,0,
2026-07-16 16:04:24,CLOSE,USELESS-USDT-SWAP,LONG,0.06884,14,0,0,0,-0.0140,-1.43,SL
2026-07-16 16:04:25,OPEN,USELESS-USDT-SWAP,LONG,0.06889,14,-13.4548,0.07027,0.0682,0,0,
2026-07-16 16:06:54,CLOSE,CVX-USDT-SWAP,LONG,1.238,8,0,0,0,-0.104,-1.04,SL
2026-07-16 16:07:09,CLOSE,HOME-USDT-SWAP,LONG,0.01155,8,0,0,0,-0.0015,-1.62,SL
2026-07-16 16:07:11,OPEN,HOME-USDT-SWAP,LONG,0.01155,8,-16.1829,0.01178,0.01143,0,0,
2026-07-16 16:07:12,CLOSE,HYPE-USDT-SWAP,LONG,64.669,1,0,0,0,-0.719,-1.10,SL
2026-07-16 16:08:02,CLOSE,USELESS-USDT-SWAP,LONG,0.06822,14,0,0,0,-0.0097,-1.00,SL
2026-07-16 16:08:03,OPEN,USELESS-USDT-SWAP,LONG,0.06819,14,-14.1508,0.06955,0.06751,0,0,
2026-07-16 16:08:07,CLOSE,WLD-USDT-SWAP,LONG,0.3953,25,0,0,0,-0.0850,-0.85,SL
2026-07-16 16:08:18,CLOSE,PI-USDT-SWAP,LONG,0.07524,134,0,0,0,0.1126,1.13,TP
2026-07-16 16:08:20,OPEN,PI-USDT-SWAP,LONG,0.07524,132,-5.7733,0.07674,0.07449,0,0,
2026-07-16 16:19:22,OPEN,BONK-USDT-SWAP,LONG,0.000003548,28,-5.0829,0.00000362,0.00000351,0,0,
2026-07-16 16:25:05,CLOSE,HOME-USDT-SWAP,LONG,0.01144,8,0,0,0,-0.0009,-0.95,SL
2026-07-16 16:25:06,OPEN,HOME-USDT-SWAP,LONG,0.01144,8,-17.4007,0.01167,0.01133,0,0,
2026-07-16 16:29:54,OPEN,AAVE-USDT-SWAP,LONG,91.83,1,-5.1245,93.67,90.91,0,0,
2026-07-16 16:37:42,CLOSE,H-USDT-SWAP,LONG,0.05999,1.6,0,0,0,0.0016,1.74,TP
2026-07-16 16:42:08,CLOSE,USELESS-USDT-SWAP,LONG,0.06948,14,0,0,0,0.0175,1.83,TP
2026-07-16 16:42:09,OPEN,USELESS-USDT-SWAP,LONG,0.06948,14,-13.1934,0.07087,0.06879,0,0,
2026-07-16 16:46:39,OPEN,HYPE-USDT-SWAP,LONG,64.18,1,-5.0086,65.464,63.538,0,0,
2026-07-16 16:47:31,CLOSE,USELESS-USDT-SWAP,LONG,0.06865,14,0,0,0,-0.0116,-1.19,SL
2026-07-16 16:47:32,OPEN,USELESS-USDT-SWAP,LONG,0.06865,14,-14.8157,0.07002,0.06796,0,0,
2026-07-16 16:48:08,CLOSE,BONK-USDT-SWAP,LONG,0.000003497,28,0,0,0,0.0000,-1.44,SL
2026-07-16 16:48:09,OPEN,BONK-USDT-SWAP,LONG,0.000003499,28,-6.0923,0.00000357,0.00000346,0,0,
2026-07-16 16:48:21,CLOSE,FARTCOIN-USDT-SWAP,LONG,0.1423,69,0,0,0,-0.0621,-0.63,SL
2026-07-16 16:48:22,OPEN,FARTCOIN-USDT-SWAP,LONG,0.1423,70,-5.0067,0.1451,0.1409,0,0,
2026-07-16 16:48:31,CLOSE,HOME-USDT-SWAP,LONG,0.01133,8,0,0,0,-0.0010,-1.13,SL
2026-07-16 16:48:32,OPEN,HOME-USDT-SWAP,LONG,0.01133,8,-22.9252,0.01156,0.01122,0,0,
2026-07-16 16:57:24,CLOSE,HOME-USDT-SWAP,LONG,0.01127,8,0,0,0,-0.0006,-0.62,SL
2026-07-16 16:57:25,OPEN,HOME-USDT-SWAP,LONG,0.01127,8,-23.0717,0.0115,0.01116,0,0,
2026-07-16 17:02:30,OPEN,CVX-USDT-SWAP,LONG,1.233,8,-5.1538,1.258,1.221,0,0,
2026-07-16 17:02:46,CLOSE,HYPE-USDT-SWAP,LONG,63.599,1,0,0,0,-0.578,-0.90,SL
2026-07-16 17:02:47,OPEN,HYPE-USDT-SWAP,LONG,63.603,1,-5.8751,64.875,62.967,0,0,
2026-07-16 17:02:53,OPEN,JUP-USDT-SWAP,LONG,0.2013,4,-5.0472,0.2053,0.1993,0,0,
2026-07-16 17:08:56,CLOSE,USELESS-USDT-SWAP,LONG,0.06995,14,0,0,0,0.0186,1.94,TP
2026-07-16 17:08:57,OPEN,USELESS-USDT-SWAP,LONG,0.06995,14,-13.5566,0.07135,0.06925,0,0,
