🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 8.0104168753614$ | PnL: -18.54338724 💵 | Сделок: 267 | WinRate: 30.34%
🔄 Новый цикл бота. Баланс: 8.5879668489509$ | PnL: -17.93891844 💵 | Сделок: 270 | WinRate: 31.11%
🔄 Новый цикл бота. Баланс: 8.3743206982709$ | PnL: -18.04711461 💵 | Сделок: 272 | WinRate: 31.25%
🔄 Новый цикл бота. Баланс: 8.3743206982709$ | PnL: -18.04711461 💵 | Сделок: 272 | WinRate: 31.25%
🔄 Новый цикл бота. Баланс: 8.3743206982709$ | PnL: -18.04711461 💵 | Сделок: 272 | WinRate: 31.25%
🔄 Новый цикл бота. Баланс: 8.3743206982709$ | PnL: -18.04711461 💵 | Сделок: 272 | WinRate: 31.25%
🔄 Новый цикл бота. Баланс: 8.5087406290089$ | PnL: -17.9036999 💵 | Сделок: 273 | WinRate: 31.5%
🔄 Новый цикл бота. Баланс: 8.8867235342062$ | PnL: -17.50768357 💵 | Сделок: 275 | WinRate: 32%
🔄 Новый цикл бота. Баланс: 8.8867235342062$ | PnL: -17.50768357 💵 | Сделок: 275 | WinRate: 32%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.00868704091321$ | PnL: -17.37670698 💵 | Сделок: 276 | WinRate: 32.25%
🔄 Новый цикл бота. Баланс: 9.2124003673582$ | PnL: -17.16401282 💵 | Сделок: 277 | WinRate: 32.49%
🔄 Новый цикл бота. Баланс: 0.202273902516209$ | PnL: -16.11189294 💵 | Сделок: 283 | WinRate: 33.92%
🔄 Новый цикл бота. Баланс: 0.820703914058212$ | PnL: -15.41845396 💵 | Сделок: 287 | WinRate: 34.84%
🔄 Новый цикл бота. Баланс: 0.820703914058212$ | PnL: -15.41845396 💵 | Сделок: 287 | WinRate: 34.84%
🔄 Новый цикл бота. Баланс: 1.10938444589631$ | PnL: -15.12076523 💵 | Сделок: 288 | WinRate: 35.07%
🔄 Новый цикл бота. Баланс: 1.10938444589631$ | PnL: -15.12076523 💵 | Сделок: 288 | WinRate: 35.07%
🔄 Новый цикл бота. Баланс: 3.31849879399608$ | PnL: -12.78612083 💵 | Сделок: 302 | WinRate: 37.75%
🔄 Новый цикл бота. Баланс: 3.88478196670408$ | PnL: -12.19280384 💵 | Сделок: 305 | WinRate: 38.36%
🔄 Новый цикл бота. Баланс: 4.02084027140208$ | PnL: -12.04763846 💵 | Сделок: 306 | WinRate: 38.56%
🔄 Новый цикл бота. Баланс: 4.37717479533708$ | PnL: -11.67320002 💵 | Сделок: 308 | WinRate: 38.96%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.58619832351788$ | PnL: -11.45517645 💵 | Сделок: 309 | WinRate: 39.16%
🔄 Новый цикл бота. Баланс: 4.75314675910988$ | PnL: -11.27921297 💵 | Сделок: 310 | WinRate: 39.35%
🔄 Новый цикл бота. Баланс: 4.75314675910988$ | PnL: -11.27921297 💵 | Сделок: 310 | WinRate: 39.35%
🔄 Новый цикл бота. Баланс: 4.75314675910988$ | PnL: -11.27921297 💵 | Сделок: 310 | WinRate: 39.35%
🔄 Новый цикл бота. Баланс: 5.07256776334748$ | PnL: -10.9418176 💵 | Сделок: 312 | WinRate: 39.74%
🔄 Новый цикл бота. Баланс: 5.22156355861108$ | PnL: -10.78381141 💵 | Сделок: 313 | WinRate: 39.94%
🔄 Новый цикл бота. Баланс: 4.94726550654908$ | PnL: -11.04872329 💵 | Сделок: 314 | WinRate: 39.81%
🔄 Новый цикл бота. Баланс: 4.94726550654908$ | PnL: -11.04872329 💵 | Сделок: 314 | WinRate: 39.81%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
