"Symbol","BestTP","BestSL","Profit","WinRate"
"CVC-USDT-SWAP","0,5","1,6","0,00915605","100"
"GMT-USDT-SWAP","0,5","1,9","0,0090653","100"
"SOLV-USDT-SWAP","0,5","1,9","0,00903316","97,83"
"BIGTIME-USDT-SWAP","0,5","1,9","0,0088698","100"
"ATH-USDT-SWAP","0,5","2,7","0,0087709","100"
"ZEREBRO-USDT-SWAP","0,5","2,9","0,00840702","98,46"
"CATI-USDT-SWAP","0,6","0,6","0,0081855","57,73"
"FLM-USDT-SWAP","0,5","2,3","0,00813535","100"
"PEOPLE-USDT-SWAP","0,5","2,3","0,00797785","100"
"JELLYJELLY-USDT-SWAP","0,5","3","0,00795090","97,56"
"BRETT-USDT-SWAP","0,5","0,5","0,00785005","56,46"
"GLM-USDT-SWAP","3","2,3","0,007839","100"
"YGG-USDT-SWAP","0,5","0,5","0,00738","53,6"
"POL-USDT-SWAP","0,8","0,8","0,0073176","56,67"
"GRIFFAIN-USDT-SWAP","0,5","0,5","0,00709705","58,71"
"CHZ-USDT-SWAP","0,5","1,7","0,0069284","100"
"NXPC-USDT-SWAP","0,7","0,7","0,0069013","52,94"
"OM-USDT-SWAP","2,4","2","0,0067824","100"
"CRO-USDT-SWAP","0,5","0,5","0,0066404","54,37"
"STRK-USDT-SWAP","0,5","0,5","0,006591","53,62"
"1INCH-USDT-SWAP","0,5","0,5","0,006449","52,25"
"SWARMS-USDT-SWAP","2,9","2,7","0,00637169","78,57"
"GPS-USDT-SWAP","0,6","2,6","0,0062838","100"
"HOME-USDT-SWAP","0,5","0,5","0,0062118","59,3"
"STORJ-USDT-SWAP","2,1","1,7","0,005901","100"
"H-USDT-SWAP","1,8","1,8","0,00571932","78,57"
"ME-USDT-SWAP","2,2","1,4","0,0056944","50"
"HBAR-USDT-SWAP","1,1","1,1","0,00559801","56,25"
"SOPH-USDT-SWAP","1,1","1,1","0,00556963","80"
"MERL-USDT-SWAP","1,5","1,5","0,0053223","66,67"
"GRT-USDT-SWAP","0,5","0,5","0,00520705","55,91"
"GALA-USDT-SWAP","0,5","2,1","0,00514735","100"
"ACH-USDT-SWAP","0,5","2","0,00508695","100"
"PENGU-USDT-SWAP","1,9","1,9","0,0050729","81,82"
"TRX-USDT-SWAP","0,5","1,3","0,00506465","100"
"TRX-USD-SWAP","0,5","1,3","0,00506455","100"
"ARC-USDT-SWAP","0,5","0,5","0,0046872","60,28"
"ZRX-USDT-SWAP","0,9","0,9","0,0046575","58,33"
"IOTA-USDT-SWAP","1,7","1,6","0,0038999","60"
"HUMA-USDT-SWAP","1","1","0,0038453","60,78"
"ACT-USDT-SWAP","0,7","0,7","0,00380877","60,32"
"USTC-USDT-SWAP","0,5","2,2","0,00362455","100"
"SOLV-USDT-SWAP","0,9","0,9","0,00362441","68"
"MUBARAK-USDT-SWAP","0,5","0,5","0,0036024","55,81"
"ANIME-USDT-SWAP","0,5","1,8","0,00355705","100"
"RSR-USDT-SWAP","0,5","2,5","0,0035564","98,86"
"NMR-USDT-SWAP","1","1","0,00353","50"
"ZETA-USDT-SWAP","0,5","0,5","0,0035225","52,86"
"BAT-USDT-SWAP","2,3","2,1","0,0034937","100"
"LRC-USDT-SWAP","1,3","1,3","0,00330577","80"
"BLUR-USDT-SWAP","0,5","0,5","0,00330555","53,85"
"ONE-USDT-SWAP","0,5","1,9","0,00328852","100"
"JOE-USDT-SWAP","0,5","0,5","0,0030305","51,89"
"PLUME-USDT-SWAP","2,3","1,7","0,00289943","66,67"
"AEVO-USDT-SWAP","0,5","0,5","0,00286865","52,27"
"MANA-USDT-SWAP","0,9","0,9","0,0027522","52,94"
"DGB-USDT-SWAP","0,5","2,8","0,0026436","100"
"DUCK-USDT-SWAP","0,5","3","0,00262217","98,26"
"DOOD-USDT-SWAP","0,8","2,9","0,0026118","97,85"
"ZK-USDT-SWAP","1,1","1,1","0,00257136","61,11"
"PYTH-USDT-SWAP","0,5","0,5","0,00245625","51,79"
"ALCH-USDT-SWAP","1,5","1,3","0,00243006","66,67"
"RVN-USDT-SWAP","0,5","2,1","0,0023527","100"
"TURBO-USDT-SWAP","0,5","2,8","0,00226134","100"
"MOVE-USDT-SWAP","0,8","0,8","0,00222872","57,14"
"ADA-USD-SWAP","0,5","0,5","0,002226","50,55"
"WOO-USDT-SWAP","0,5","0,5","0,0021236","52,94"
"DEGEN-USDT-SWAP","0,5","1,8","0,00191193","100"
"JST-USDT-SWAP","0,5","1,4","0,0018633","100"
"ICX-USDT-SWAP","1,4","1,3","0,0018501","100"
"DOG-USDT-SWAP","0,5","2,7","0,00183148","97,69"
"TNSR-USDT-SWAP","1,4","1,4","0,0017808","66,67"
"ORBS-USDT-SWAP","0,5","2,1","0,0017382","100"
"T-USDT-SWAP","0,5","1,2","0,0017331","100"
"WAXP-USDT-SWAP","0,5","1,6","0,00171435","100"
"ZIL-USDT-SWAP","0,5","1,6","0,0016414","100"
"ZENT-USDT-SWAP","0,5","2,6","0,0016322","100"
"PEOPLE-USDT-SWAP","0,5","0,5","0,00162865","55,94"
"PUMP-USDT-SWAP","0,5","2,9","0,00160803","98,2"
"KMNO-USDT-SWAP","1,3","1,3","0,00135928","62,5"
"MEW-USDT-SWAP","0,5","2,6","0,00130557","100"
"GALA-USDT-SWAP","0,6","0,6","0,00112878","56,96"
"SLP-USDT-SWAP","0,5","2,8","0,00101012","100"
"FLM-USDT-SWAP","0,5","0,5","0,000974","53,47"
"ATH-USDT-SWAP","1,3","1,3","0,00094133","66,67"
"ZEREBRO-USDT-SWAP","1,1","1,1","0,00093027","56"
"NOT-USDT-SWAP","0,5","2,3","0,00090472","100"
"DOOD-USDT-SWAP","2,7","2,7","0,00086832","78,57"
"DGB-USDT-SWAP","0,5","0,5","0,0008213","59,18"
"BOME-USDT-SWAP","0,5","2,5","0,00079649","100"
"TURBO-USDT-SWAP","0,7","0,7","0,00077887","61,62"
"DUCK-USDT-SWAP","3","3","0,00077712","77,78"
"RSR-USDT-SWAP","0,9","0,9","0,00069708","58,82"
"DOG-USDT-SWAP","0,9","0,9","0,00063766","60"
"ANIME-USDT-SWAP","0,5","0,5","0,0006232","54,79"
"GPS-USDT-SWAP","0,6","0,6","0,00059742","52,63"
"ONE-USDT-SWAP","0,5","0,5","0,00059652","55,14"
"MEME-USDT-SWAP","0,5","2","0,00059355","98,61"
"JST-USDT-SWAP","0,5","0,5","0,00051795","57,89"
"ONT-USDT-SWAP","1,5","1,2","0,000468","50"
"IOST-USDT-SWAP","0,5","1,6","0,00043289","100"
"USTC-USDT-SWAP","3","2,2","0,0004248","100"
"QTUM-USDT-SWAP","0,8","0,8","0,000424","50"
"CHZ-USDT-SWAP","0,5","0,5","0,00040545","51,56"
"SONIC-USDT-SWAP","1,1","1","0,00036331","50"
"ORBS-USDT-SWAP","0,9","0,9","0,00035469","62,5"
"DEGEN-USDT-SWAP","0,5","0,5","0,00032669","54,75"
"ACH-USDT-SWAP","0,5","0,5","0,0003187","51,69"
"SLP-USDT-SWAP","1,1","1,1","0,00027893","61,82"
"MEW-USDT-SWAP","0,5","0,5","0,00027715","56,03"
"NOT-USDT-SWAP","0,5","0,5","0,0002766","59,12"
"T-USDT-SWAP","1,2","1,2","0,00020532","100"
"HMSTR-USDT-SWAP","0,5","1,9","0,00020531","100"
"RVN-USDT-SWAP","0,5","0,5","0,000195","52,38"
"NEIRO-USDT-SWAP","0,5","2,7","0,00019266","98,98"
"BOME-USDT-SWAP","0,5","0,5","0,0001598","55,7"
"ZIL-USDT-SWAP","1,1","1,1","0,00012155","66,67"
"ZENT-USDT-SWAP","0,6","0,6","9,062E-05","52,17"
"MEME-USDT-SWAP","1,3","1,3","6,994E-05","63,64"
"GMT-USDT-SWAP","1,5","1,3","6,089E-05","50"
"FLOKI-USDT-SWAP","0,5","1,9","5,85E-05","100"
"DOGS-USDT-SWAP","0,5","2,3","4,775E-05","100"
"NEIRO-USDT-SWAP","1,3","1,3","4,337E-05","66,67"
"IOST-USDT-SWAP","1,2","1,2","4,272E-05","66,67"
"WAXP-USDT-SWAP","1,3","1,1","3,424E-05","50"
"BONK-USDT-SWAP","0,5","2,4","1,439E-05","100"
"FLOKI-USDT-SWAP","0,8","0,8","1,208E-05","59,42"
"DOGS-USDT-SWAP","0,5","0,5","8,6E-06","55,08"
"LUNC-USDT-SWAP","0,5","1,5","8,08E-06","100"
"PEPE-USDT-SWAP","0,5","1,9","4,57E-06","100"
