"Symbol","BestTP","BestSL","Profit","WinRate"
"KSM-USDT-SWAP","0,5","1,8","2,80616","97,62"
"EGLD-USDT-SWAP","0,5","2,1","2,63565","100"
"IP-USDT-SWAP","0,5","2,6","2,3622163","98,75"
"CVX-USDT-SWAP","0,5","3","2,34559","100"
"FXS-USDT-SWAP","0,5","2,6","1,542445","100"
"NMR-USDT-SWAP","0,5","1,7","1,458435","100"
"LPT-USDT-SWAP","0,5","1,9","1,40206","100"
"RAY-USDT-SWAP","0,5","2,1","1,3632905","100"
"SPX-USDT-SWAP","0,5","2,4","1,285806","100"
"AUCTION-USDT-SWAP","0,5","2,2","1,249845","100"
"SUI-USDT-SWAP","0,5","2,3","1,143531","100"
"TRUMP-USDT-SWAP","0,5","1,9","1,1179","100"
"NEO-USDT-SWAP","0,5","2","1,111685","100"
"SUI-USD-SWAP","0,5","2,3","1,06811","100"
"ICP-USDT-SWAP","0,5","2,6","0,974875","100"
"RENDER-USDT-SWAP","0,5","2,3","0,962115","100"
"APT-USDT-SWAP","0,5","1,7","0,940495","100"
"AERO-USDT-SWAP","0,7","2,7","0,8832698","100"
"MORPHO-USDT-SWAP","0,5","2,9","0,832308","100"
"LDO-USDT-SWAP","0,5","3","0,772368","100"
"DOT-USDT-SWAP","0,5","1,7","0,73047","100"
"FARTCOIN-USDT-SWAP","0,5","2,1","0,703763","100"
"NEAR-USDT-SWAP","0,5","1,7","0,69813","100"
"VANA-USDT-SWAP","0,5","2,1","0,69165","100"
"DOT-USD-SWAP","0,5","1,6","0,691565","100"
"ETHFI-USDT-SWAP","0,5","2,8","0,673724","100"
"EIGEN-USDT-SWAP","0,5","2,1","0,645742","100"
"VIRTUAL-USDT-SWAP","0,5","2,6","0,6392245","100"
"TIA-USDT-SWAP","0,5","2,4","0,61654","100"
"ETHW-USDT-SWAP","0,5","2","0,58922500","98,65"
"ATOM-USDT-SWAP","0,5","2","0,57243","100"
"XRP-USD-SWAP","0,5","2,4","0,567444","100"
"XRP-USDT-SWAP","0,5","2,4","0,5505405","100"
"SOON-USDT-SWAP","2,1","3","0,51163833","88,12"
"AXS-USDT-SWAP","0,5","1,9","0,500875","100"
"LQTY-USDT-SWAP","0,5","2,1","0,499361","100"
"ZRO-USDT-SWAP","0,5","2,2","0,472655","100"
"GAS-USDT-SWAP","0,5","1,8","0,469085","100"
"CRV-USDT-SWAP","0,5","1,8","0,4579215","100"
"BERA-USDT-SWAP","0,5","2,5","0,456955","100"
"WIF-USDT-SWAP","0,5","2,5","0,4343235","100"
"GRASS-USDT-SWAP","0,5","3","0,41855300","97,71"
"JTO-USDT-SWAP","0,5","2","0,391885","100"
"ATOM-USD-SWAP","0,5","1,9","0,389945","100"
"WLD-USDT-SWAP","0,5","2,8","0,386276","100"
"TON-USDT-SWAP","0,6","1,8","0,381582","100"
"FIL-USDT-SWAP","0,5","1,9","0,355695","100"
"KAITO-USDT-SWAP","0,5","2,6","0,351736","100"
"SUSHI-USDT-SWAP","0,5","2,3","0,330096","98,8"
"FIL-USD-SWAP","0,6","1,8","0,318084","100"
"QTUM-USDT-SWAP","0,5","1,8","0,3139","100"
"OP-USDT-SWAP","0,5","1,5","0,3049255","100"
"XTZ-USDT-SWAP","0,5","2,7","0,2800549","98,63"
"UMA-USDT-SWAP","0,5","2,2","0,27338","100"
"SYRUP-USDT-SWAP","0,6","2,1","0,2404524","100"
"THETA-USDT-SWAP","0,5","2,2","0,2279155","100"
