timestamp,event,instId,side,price,sz,dip_pct,pnl,pnl_pct,detail
2026-08-08 11:40:50,CLOSED,SHIB-USDT-SWAP,LONG,0.00000466,8.4,0,-0.9473,-2.36,total_buys=0
2026-08-08 11:40:54,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004659,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-08 12:23:37,CLOSED,SHIB-USDT-SWAP,LONG,0.000004642,8.4,0,-1.0985,-2.74,total_buys=0
2026-08-08 12:23:42,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004642,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-08 17:46:09,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004623,0.2,-1.0488,0,0,buy=1 fib=1 x0.1usd
2026-08-09 06:53:57,CLOSED,SHIB-USDT-SWAP,LONG,0.000004638,8.4,0,-1.1321,-2.82,total_buys=1
2026-08-09 06:54:02,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004638,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-09 20:10:16,CLOSED,SHIB-USDT-SWAP,LONG,0.000004669,8.4,0,-0.8717,-2.17,total_buys=0
2026-08-09 20:10:21,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004669,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-09 23:30:10,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004609,0.2,-1.0732,0,0,buy=1 fib=1 x0.1usd
2026-08-09 23:41:07,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004611,0.2,-1.0303,0,0,buy=2 fib=1 x0.1usd
2026-08-10 01:31:32,CLOSED,SHIB-USDT-SWAP,LONG,0.000004641,8.4,0,-1.1069,-2.76,total_buys=2
2026-08-10 01:31:37,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.00000464,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-10 04:35:13,CLOSED,SHIB-USDT-SWAP,LONG,0.000004667,8.4,0,-0.8885,-2.22,total_buys=0
2026-08-10 04:35:18,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004666,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-10 11:13:44,CLOSED,SHIB-USDT-SWAP,LONG,0.000004683,8.4,0,-0.7541,-1.88,total_buys=0
2026-08-10 11:13:48,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004683,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
