🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 2.49425709517609$ | PnL: 5.13665649 💵 | Сделок: 30 | WinRate: 83.33%
🔄 Новый цикл бота. Баланс: 2.33563141746909$ | PnL: 4.98865611 💵 | Сделок: 31 | WinRate: 80.65%
🔄 Новый цикл бота. Баланс: 2.33563141746909$ | PnL: 4.98865611 💵 | Сделок: 31 | WinRate: 80.65%
🔄 Новый цикл бота. Баланс: 2.33563141746909$ | PnL: 4.98865611 💵 | Сделок: 31 | WinRate: 80.65%
🔄 Новый цикл бота. Баланс: 2.11541847313915$ | PnL: 4.76586943 💵 | Сделок: 33 | WinRate: 75.76%
🔄 Новый цикл бота. Баланс: 1.77749738727285$ | PnL: 4.52028662 💵 | Сделок: 35 | WinRate: 71.43%
🔄 Новый цикл бота. Баланс: 1.49124915797285$ | PnL: 4.40297092 💵 | Сделок: 36 | WinRate: 69.44%
🔄 Новый цикл бота. Баланс: 1.49124915797285$ | PnL: 4.40297092 💵 | Сделок: 36 | WinRate: 69.44%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 2.39667532487285$ | PnL: 4.33735686 💵 | Сделок: 37 | WinRate: 67.57%
🔄 Новый цикл бота. Баланс: 1.7634777648399$ | PnL: 3.68111693 💵 | Сделок: 42 | WinRate: 59.52%
🔄 Новый цикл бота. Баланс: 11.2252980647923$ | PnL: 3.16157511 💵 | Сделок: 45 | WinRate: 55.56%
🔄 Новый цикл бота. Баланс: 110.355598825486$ | PnL: 1.59571488 💵 | Сделок: 58 | WinRate: 44.83%
🔄 Новый цикл бота. Баланс: 267.385239891015$ | PnL: -1.19314488 💵 | Сделок: 75 | WinRate: 34.67%
🔄 Новый цикл бота. Баланс: 395.090063497865$ | PnL: -3.47874985 💵 | Сделок: 89 | WinRate: 29.21%
🔄 Новый цикл бота. Баланс: 424.510130939365$ | PnL: -4.05863573 💵 | Сделок: 92 | WinRate: 28.26%
🔄 Новый цикл бота. Баланс: 473.637176498359$ | PnL: -4.9319824 💵 | Сделок: 97 | WinRate: 26.8%
🔄 Новый цикл бота. Баланс: 453.619114540147$ | PnL: -4.9319824 💵 | Сделок: 97 | WinRate: 26.8%
🔄 Новый цикл бота. Баланс: 443.630032450147$ | PnL: -4.9319824 💵 | Сделок: 97 | WinRate: 26.8%
🔄 Новый цикл бота. Баланс: 443.630032450147$ | PnL: -4.9319824 💵 | Сделок: 97 | WinRate: 26.8%
🔄 Новый цикл бота. Баланс: 453.343285350147$ | PnL: -5.21868698 💵 | Сделок: 98 | WinRate: 26.53%
🔄 Новый цикл бота. Баланс: 453.09071301891$ | PnL: -5.46226372 💵 | Сделок: 99 | WinRate: 26.26%
🔄 Новый цикл бота. Баланс: 462.95461572391$ | PnL: -5.59836098 💵 | Сделок: 100 | WinRate: 26%
🔄 Новый цикл бота. Баланс: 322.596643226876$ | PnL: -5.83776311 💵 | Сделок: 102 | WinRate: 25.49%
🔄 Новый цикл бота. Баланс: 1.56842744293114$ | PnL: -6.32203583 💵 | Сделок: 105 | WinRate: 24.76%
