2025-09-01 11:56:12 🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 799.247578894856$ | PnL: -0.31667174 💵 | Сделок: 8 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 808.709523024856$ | PnL: -0.85472814 💵 | Сделок: 9 | WinRate: 22.22%
🔄 Новый цикл бота. Баланс: 808.709523024856$ | PnL: -0.85472814 💵 | Сделок: 9 | WinRate: 22.22%
🔄 Новый цикл бота. Баланс: 808.709523024856$ | PnL: -0.85472814 💵 | Сделок: 9 | WinRate: 22.22%
🔄 Новый цикл бота. Баланс: 819.384108930856$ | PnL: -0.18013521 💵 | Сделок: 10 | WinRate: 30%
🔄 Новый цикл бота. Баланс: 809.37510162929$ | PnL: -0.18013521 💵 | Сделок: 10 | WinRate: 30%
🔄 Новый цикл бота. Баланс: 819.73332458869$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 809.724324420939$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 809.724324420939$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 799.715323640237$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 799.715323640237$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 799.715323640237$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 799.715323640237$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 789.706330246177$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 789.706330246177$ | PnL: 0.17808785 💵 | Сделок: 11 | WinRate: 36.36%
🔄 Новый цикл бота. Баланс: 800.174317578077$ | PnL: 0.64607517 💵 | Сделок: 12 | WinRate: 41.67%
🔄 Новый цикл бота. Баланс: 800.174317578077$ | PnL: 0.64607517 💵 | Сделок: 12 | WinRate: 41.67%
🔄 Новый цикл бота. Баланс: 810.542589928077$ | PnL: 1.0143468 💵 | Сделок: 13 | WinRate: 46.15%
🔄 Новый цикл бота. Баланс: 810.142564793003$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 810.142564793003$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 810.142564793003$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 489.903049089032$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 9.61708338292087$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 9.61708338292087$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 9.61708338292087$ | PnL: 0.62331054 💵 | Сделок: 14 | WinRate: 42.86%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 9.2021382756546$ | PnL: 0.21736967 💵 | Сделок: 15 | WinRate: 40%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
