🔄 2025-09-11 16:50:02 Баланс: 5000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 21:13:05 Баланс: 4095.3602357103$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:19:29 Баланс: 4085.3512408349$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:25:53 Баланс: 4085.3512408349$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:32:18 Баланс: 4085.3512408349$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:38:44 Баланс: 4085.3512408349$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:45:15 Баланс: 4075.34225510774$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:51:40 Баланс: 4075.34225510774$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:58:05 Баланс: 4075.34225510774$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 22:04:31 Баланс: 4075.34225510774$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 22:10:57 Баланс: 4075.34225510774$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 22:17:21 Баланс: 4075.81739105654$ | PnL: 1.50415188 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-11 22:23:51 Баланс: 4065.80838675267$ | PnL: 1.50415188 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-11 22:30:17 Баланс: 4065.80838675267$ | PnL: 1.50415188 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-11 22:36:44 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 22:43:13 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 22:49:39 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 22:56:06 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 23:02:32 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 23:09:00 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 23:15:26 Баланс: 4056.20152109765$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-11 23:21:57 Баланс: 4046.19248206255$ | PnL: 1.91529624 💵 | Сделок: 4 | WinRate: 100%
